,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
ace_vaxinpad,0.855072463768116,0.8333333333333334,0.8768115942028986,0.8102189781021898,0.7883211678832117,0.8260869565217391,0.9130434782608695,0.7536231884057971,0.8832116788321168,0.8832116788321168,0.9130434782608695,0.8260869565217391,0.8043478260869565,0.8175182481751825,0.8248175182481752,0.8405797101449275,0.7753623188405797,0.8695652173913043,0.8321167883211679,0.8467153284671532,0.8188405797101449,0.8405797101449275,0.8333333333333334,0.8686131386861314,0.8540145985401459,0.8188405797101449,0.8405797101449275,0.8115942028985508,0.8175182481751825,0.8102189781021898,0.8913043478260869,0.7898550724637681,0.8623188405797102,0.8394160583941606,0.8248175182481752,0.8115942028985508,0.8405797101449275,0.7971014492753623,0.8613138686131386,0.8832116788321168,0.7971014492753623,0.8695652173913043,0.8623188405797102,0.8321167883211679,0.8832116788321168,0.7898550724637681,0.8623188405797102,0.855072463768116,0.8029197080291971,0.8175182481751825
acp_anticp,0.7888888888888889,0.7222222222222222,0.7111111111111111,0.7555555555555555,0.7888888888888889,0.7888888888888889,0.8444444444444444,0.7222222222222222,0.8,0.8,0.8222222222222222,0.7555555555555555,0.7222222222222222,0.7666666666666667,0.8111111111111111,0.8,0.7888888888888889,0.8111111111111111,0.8111111111111111,0.7555555555555555,0.8,0.6888888888888889,0.7333333333333333,0.8111111111111111,0.7444444444444445,0.7,0.7777777777777778,0.8,0.6888888888888889,0.6666666666666666,0.7666666666666667,0.7444444444444445,0.8222222222222222,0.7333333333333333,0.7888888888888889,0.7111111111111111,0.7666666666666667,0.8111111111111111,0.7444444444444445,0.7888888888888889,0.7,0.8333333333333334,0.7444444444444445,0.7333333333333333,0.8444444444444444,0.7333333333333333,0.8,0.7777777777777778,0.8222222222222222,0.6777777777777778
acp_iacp,0.7391304347826086,0.8260869565217391,0.8115942028985508,0.7536231884057971,0.7794117647058824,0.7101449275362319,0.8405797101449275,0.782608695652174,0.7681159420289855,0.8529411764705882,0.7681159420289855,0.8695652173913043,0.8115942028985508,0.8260869565217391,0.7647058823529411,0.8405797101449275,0.7681159420289855,0.7971014492753623,0.855072463768116,0.7058823529411765,0.7971014492753623,0.7971014492753623,0.782608695652174,0.8115942028985508,0.7941176470588235,0.8115942028985508,0.782608695652174,0.7971014492753623,0.8405797101449275,0.8235294117647058,0.8405797101449275,0.7681159420289855,0.782608695652174,0.7536231884057971,0.8382352941176471,0.7971014492753623,0.7681159420289855,0.782608695652174,0.8405797101449275,0.8088235294117647,0.7681159420289855,0.7536231884057971,0.8260869565217391,0.7971014492753623,0.8235294117647058,0.7971014492753623,0.8115942028985508,0.8115942028985508,0.855072463768116,0.8235294117647058
acp_mlacp,0.7777777777777778,0.7521367521367521,0.7863247863247863,0.7606837606837606,0.7863247863247863,0.7692307692307693,0.7692307692307693,0.7606837606837606,0.7777777777777778,0.7692307692307693,0.7521367521367521,0.7521367521367521,0.7777777777777778,0.7692307692307693,0.811965811965812,0.717948717948718,0.7863247863247863,0.7948717948717948,0.811965811965812,0.7521367521367521,0.7094017094017094,0.7606837606837606,0.811965811965812,0.7948717948717948,0.7863247863247863,0.7863247863247863,0.7350427350427351,0.7606837606837606,0.8034188034188035,0.7521367521367521,0.7692307692307693,0.7777777777777778,0.7606837606837606,0.7606837606837606,0.7606837606837606,0.7435897435897436,0.8034188034188035,0.7350427350427351,0.8034188034188035,0.8205128205128205,0.7777777777777778,0.7350427350427351,0.7606837606837606,0.8034188034188035,0.7606837606837606,0.7521367521367521,0.8034188034188035,0.7606837606837606,0.7435897435897436,0.7606837606837606
afp_amppred,0.7779783393501805,0.7833935018050542,0.7671480144404332,0.7956600361663653,0.7884267631103075,0.7851985559566786,0.8050541516245487,0.7743682310469314,0.7396021699819169,0.7703435804701627,0.8032490974729242,0.7996389891696751,0.7653429602888087,0.7703435804701627,0.7649186256781193,0.7906137184115524,0.7671480144404332,0.7906137184115524,0.779385171790235,0.7468354430379747,0.7689530685920578,0.7942238267148014,0.7833935018050542,0.7613019891500904,0.783001808318264,0.7346570397111913,0.7581227436823105,0.7653429602888087,0.7721518987341772,0.7811934900542495,0.7671480144404332,0.7527075812274369,0.7851985559566786,0.7956600361663653,0.7775768535262206,0.776173285198556,0.759927797833935,0.7870036101083032,0.783001808318264,0.7811934900542495,0.7725631768953068,0.7815884476534296,0.7815884476534296,0.779385171790235,0.7540687160940326,0.7779783393501805,0.8032490974729242,0.7635379061371841,0.783001808318264,0.7775768535262206
afp_antifp,0.7602739726027398,0.7392795883361921,0.7461406518010292,0.7221269296740995,0.7375643224699828,0.761986301369863,0.7632933104631218,0.7221269296740995,0.7032590051457976,0.7684391080617495,0.7482876712328768,0.7461406518010292,0.7409948542024014,0.7547169811320755,0.7375643224699828,0.7551369863013698,0.7324185248713551,0.7478559176672385,0.7650085763293311,0.7478559176672385,0.7808219178082192,0.7409948542024014,0.7598627787307033,0.7101200686106347,0.7409948542024014,0.7705479452054794,0.7564322469982847,0.7392795883361921,0.7186963979416809,0.7221269296740995,0.7671232876712328,0.7032590051457976,0.7272727272727273,0.7461406518010292,0.7375643224699828,0.7277397260273972,0.7307032590051458,0.7392795883361921,0.7598627787307033,0.7444253859348199,0.761986301369863,0.758147512864494,0.7650085763293311,0.7615780445969125,0.7307032590051458,0.761986301369863,0.7512864493996569,0.7307032590051458,0.7375643224699828,0.7358490566037735
ai4avp,0.9088594704684317,0.9047619047619048,0.9055258467023173,0.907563025210084,0.9067990832696715,0.9093686354378818,0.904507257448434,0.9057804940157881,0.9055258467023173,0.9029793735676088,0.9065682281059063,0.9039979628214923,0.9080723198370257,0.9032340208810797,0.9034886681945505,0.9022403258655805,0.9055258467023173,0.9022154316271963,0.9062897886427298,0.904507257448434,0.904786150712831,0.9034886681945505,0.9085816144639675,0.9065444359562007,0.9022154316271963,0.9030040733197556,0.906035141329259,0.904507257448434,0.9083269671504965,0.9039979628214923,0.9045315682281059,0.9017061370002546,0.9062897886427298,0.9039979628214923,0.9078176725235548,0.9017311608961304,0.9039979628214923,0.906035141329259,0.9070537305831423,0.9050165520753756,0.9058044806517311,0.9052711993888465,0.899414311179017,0.904252610134963,0.9116373822256175,0.9055498981670062,0.9080723198370257,0.9037433155080213,0.9088362617774383,0.899414311179017
ai4avp_2,0.6440677966101694,0.6495726495726496,0.6837606837606838,0.6581196581196581,0.6239316239316239,0.652542372881356,0.6666666666666666,0.7008547008547008,0.7008547008547008,0.6837606837606838,0.6186440677966102,0.7264957264957265,0.6752136752136753,0.6581196581196581,0.717948717948718,0.652542372881356,0.5982905982905983,0.6581196581196581,0.6666666666666666,0.7350427350427351,0.6694915254237288,0.6324786324786325,0.6410256410256411,0.6923076923076923,0.6581196581196581,0.6610169491525424,0.6666666666666666,0.6495726495726496,0.6495726495726496,0.6068376068376068,0.6779661016949152,0.5811965811965812,0.7094017094017094,0.6068376068376068,0.6923076923076923,0.6694915254237288,0.6324786324786325,0.6837606837606838,0.6837606837606838,0.7008547008547008,0.6779661016949152,0.6837606837606838,0.6153846153846154,0.5897435897435898,0.717948717948718,0.635593220338983,0.6581196581196581,0.6068376068376068,0.6324786324786325,0.6752136752136753
aip_aippred,0.6333333333333333,0.638095238095238,0.6476190476190476,0.638095238095238,0.6507177033492823,0.6047619047619047,0.6952380952380952,0.6571428571428571,0.638095238095238,0.6794258373205742,0.6047619047619047,0.6857142857142857,0.6476190476190476,0.6,0.6650717703349283,0.6428571428571429,0.638095238095238,0.6619047619047619,0.6238095238095238,0.6076555023923444,0.6095238095238096,0.6333333333333333,0.6714285714285714,0.6333333333333333,0.6889952153110048,0.6761904761904762,0.6714285714285714,0.6571428571428571,0.5904761904761905,0.645933014354067,0.6428571428571429,0.6428571428571429,0.6523809523809524,0.6761904761904762,0.631578947368421,0.6333333333333333,0.6523809523809524,0.6476190476190476,0.6476190476190476,0.6650717703349283,0.6714285714285714,0.6571428571428571,0.6619047619047619,0.6190476190476191,0.6411483253588517,0.6666666666666666,0.6047619047619047,0.719047619047619,0.6238095238095238,0.6555023923444976
aip_antiinflam,0.6494117647058824,0.6564705882352941,0.6282352941176471,0.6423529411764706,0.6485849056603774,0.6376470588235295,0.6352941176470588,0.6211764705882353,0.6352941176470588,0.6320754716981132,0.6470588235294118,0.6,0.6588235294117647,0.64,0.6438679245283019,0.6470588235294118,0.6329411764705882,0.6541176470588236,0.6235294117647059,0.6556603773584906,0.6282352941176471,0.6564705882352941,0.6611764705882353,0.6258823529411764,0.6367924528301887,0.6588235294117647,0.611764705882353,0.6,0.6282352941176471,0.6320754716981132,0.6541176470588236,0.6352941176470588,0.6094117647058823,0.6635294117647059,0.625,0.6352941176470588,0.6588235294117647,0.6164705882352941,0.6376470588235295,0.6344339622641509,0.6494117647058824,0.6447058823529411,0.6235294117647059,0.5976470588235294,0.6179245283018868,0.6141176470588235,0.6611764705882353,0.6564705882352941,0.6564705882352941,0.6297169811320755
